"Sr. No.","HS Code","HS Description","Country Name","April-2019-20_INR_Cr","April-2019-20_USD_Mn","April-2020-21_INR_Cr","April-2020-21_USD_Mn","April-2021-22_INR_Cr","April-2021-22_USD_Mn","April-2022-23_INR_Cr","April-2022-23_USD_Mn","April-2023-24_INR_Cr","April-2023-24_USD_Mn","April-2024-25_INR_Cr","April-2024-25_USD_Mn","April-2025-26_INR_Cr","April-2025-26_USD_Mn","April-2026-27_INR_Cr","April-2026-27_USD_Mn","August-2019-20_INR_Cr","August-2019-20_USD_Mn","August-2020-21_INR_Cr","August-2020-21_USD_Mn","August-2021-22_INR_Cr","August-2021-22_USD_Mn","August-2022-23_INR_Cr","August-2022-23_USD_Mn","August-2023-24_INR_Cr","August-2023-24_USD_Mn","August-2024-25_INR_Cr","August-2024-25_USD_Mn","August-2025-26_INR_Cr","August-2025-26_USD_Mn","December-2019-20_INR_Cr","December-2019-20_USD_Mn","December-2020-21_INR_Cr","December-2020-21_USD_Mn","December-2021-22_INR_Cr","December-2021-22_USD_Mn","December-2022-23_INR_Cr","December-2022-23_USD_Mn","December-2023-24_INR_Cr","December-2023-24_USD_Mn","December-2024-25_INR_Cr","December-2024-25_USD_Mn","December-2025-26_INR_Cr","December-2025-26_USD_Mn","February-2019-20_INR_Cr","February-2019-20_USD_Mn","February-2020-21_INR_Cr","February-2020-21_USD_Mn","February-2021-22_INR_Cr","February-2021-22_USD_Mn","February-2022-23_INR_Cr","February-2022-23_USD_Mn","February-2023-24_INR_Cr","February-2023-24_USD_Mn","February-2024-25_INR_Cr","February-2024-25_USD_Mn","February-2025-26_INR_Cr","February-2025-26_USD_Mn","January-2019-20_INR_Cr","January-2019-20_USD_Mn","January-2020-21_INR_Cr","January-2020-21_USD_Mn","January-2021-22_INR_Cr","January-2021-22_USD_Mn","January-2022-23_INR_Cr","January-2022-23_USD_Mn","January-2023-24_INR_Cr","January-2023-24_USD_Mn","January-2024-25_INR_Cr","January-2024-25_USD_Mn","January-2025-26_INR_Cr","January-2025-26_USD_Mn","July-2019-20_INR_Cr","July-2019-20_USD_Mn","July-2020-21_INR_Cr","July-2020-21_USD_Mn","July-2021-22_INR_Cr","July-2021-22_USD_Mn","July-2022-23_INR_Cr","July-2022-23_USD_Mn","July-2023-24_INR_Cr","July-2023-24_USD_Mn","July-2024-25_INR_Cr","July-2024-25_USD_Mn","July-2025-26_INR_Cr","July-2025-26_USD_Mn","June-2019-20_INR_Cr","June-2019-20_USD_Mn","June-2020-21_INR_Cr","June-2020-21_USD_Mn","June-2021-22_INR_Cr","June-2021-22_USD_Mn","June-2022-23_INR_Cr","June-2022-23_USD_Mn","June-2023-24_INR_Cr","June-2023-24_USD_Mn","June-2024-25_INR_Cr","June-2024-25_USD_Mn","June-2025-26_INR_Cr","June-2025-26_USD_Mn","June-2026-27_INR_Cr","June-2026-27_USD_Mn","March-2019-20_INR_Cr","March-2019-20_USD_Mn","March-2020-21_INR_Cr","March-2020-21_USD_Mn","March-2021-22_INR_Cr","March-2021-22_USD_Mn","March-2022-23_INR_Cr","March-2022-23_USD_Mn","March-2023-24_INR_Cr","March-2023-24_USD_Mn","March-2024-25_INR_Cr","March-2024-25_USD_Mn","March-2025-26_INR_Cr","March-2025-26_USD_Mn","May-2019-20_INR_Cr","May-2019-20_USD_Mn","May-2020-21_INR_Cr","May-2020-21_USD_Mn","May-2021-22_INR_Cr","May-2021-22_USD_Mn","May-2022-23_INR_Cr","May-2022-23_USD_Mn","May-2023-24_INR_Cr","May-2023-24_USD_Mn","May-2024-25_INR_Cr","May-2024-25_USD_Mn","May-2025-26_INR_Cr","May-2025-26_USD_Mn","May-2026-27_INR_Cr","May-2026-27_USD_Mn","November-2019-20_INR_Cr","November-2019-20_USD_Mn","November-2020-21_INR_Cr","November-2020-21_USD_Mn","November-2021-22_INR_Cr","November-2021-22_USD_Mn","November-2022-23_INR_Cr","November-2022-23_USD_Mn","November-2023-24_INR_Cr","November-2023-24_USD_Mn","November-2024-25_INR_Cr","November-2024-25_USD_Mn","November-2025-26_INR_Cr","November-2025-26_USD_Mn","October-2019-20_INR_Cr","October-2019-20_USD_Mn","October-2020-21_INR_Cr","October-2020-21_USD_Mn","October-2021-22_INR_Cr","October-2021-22_USD_Mn","October-2022-23_INR_Cr","October-2022-23_USD_Mn","October-2023-24_INR_Cr","October-2023-24_USD_Mn","October-2024-25_INR_Cr","October-2024-25_USD_Mn","October-2025-26_INR_Cr","October-2025-26_USD_Mn","September-2019-20_INR_Cr","September-2019-20_USD_Mn","September-2020-21_INR_Cr","September-2020-21_USD_Mn","September-2021-22_INR_Cr","September-2021-22_USD_Mn","September-2022-23_INR_Cr","September-2022-23_USD_Mn","September-2023-24_INR_Cr","September-2023-24_USD_Mn","September-2024-25_INR_Cr","September-2024-25_USD_Mn","September-2025-26_INR_Cr","September-2025-26_USD_Mn"
"43","30","PHARMACEUTICAL PRODUCTS","CAMEROON","33.500","4.825","11.088","1.454","33.689","4.524","42.301","5.554","35.058","4.274","145.638","17.461","47.086","5.503","46.295","4.949","32.775","4.607","17.819","2.386","43.808","5.905","29.691","3.732","43.307","5.231","46.903","5.591","86.372","9.869","44.169","6.204","24.891","3.382","14.520","1.926","39.288","4.764","31.729","3.810","45.830","5.393","55.515","6.162","54.121","7.571","56.044","7.703","64.095","8.546","37.104","4.492","32.945","3.971","55.593","6.386","57.668","6.356","48.795","6.842","18.432","2.521","46.656","6.268","36.999","4.518","39.642","4.769","43.694","5.065","62.208","6.851","29.014","4.217","28.453","3.794","46.060","6.180","21.272","2.672","29.464","3.587","38.814","4.643","48.759","5.662","45.304","6.524","23.678","3.127","69.398","9.434","25.748","3.298","55.446","6.742","54.701","6.553","52.246","6.082","118.845","12.514","19.982","2.688","40.880","5.616","29.480","3.867","110.512","13.430","97.283","11.721","64.840","7.484","53.106","5.725","71.885","10.303","33.982","4.491","20.943","2.858","16.872","2.182","46.259","5.618","61.227","7.342","129.057","15.149","49.050","5.131","17.531","2.454","26.377","3.554","13.971","1.875","53.164","6.498","50.497","6.062","34.715","4.115","51.801","5.832","12.640","1.779","38.580","5.252","43.425","5.797","55.704","6.765","46.761","5.618","44.666","5.315","40.521","4.583","32.396","4.542","17.809","2.424","56.953","7.742","58.266","7.262","34.413","4.144","43.233","5.159","46.846","5.304"
"44","30","PHARMACEUTICAL PRODUCTS","UZBEKISTAN","33.342","4.802","19.754","2.591","63.446","8.519","56.690","7.443","67.785","8.264","52.749","6.324","60.093","7.023","92.569","9.895","39.841","5.600","132.080","17.688","82.155","11.074","121.656","15.292","158.775","19.179","62.189","7.413","80.973","9.252","42.388","5.954","90.616","12.313","81.656","10.834","76.820","9.316","116.348","13.971","88.604","10.426","74.082","8.223","55.965","7.828","75.958","10.440","88.112","11.748","53.006","6.416","89.357","10.771","52.414","6.021","92.095","10.150","47.941","6.722","101.865","13.933","82.307","11.057","45.157","5.514","100.932","12.143","79.886","9.261","73.681","8.115","58.090","8.442","87.467","11.663","87.241","11.706","66.879","8.402","49.891","6.073","65.476","7.833","117.418","13.635","46.144","6.645","70.634","9.327","47.290","6.429","111.084","14.228","69.821","8.491","119.889","14.363","96.910","11.281","47.058","4.955","23.097","3.107","68.333","9.387","99.276","13.021","66.224","8.048","67.304","8.109","89.262","10.303","63.407","6.836","80.311","11.510","68.082","8.998","63.383","8.651","55.752","7.211","74.902","9.096","59.819","7.173","61.568","7.227","65.825","6.886","42.438","5.939","148.843","20.054","50.874","6.829","67.170","8.210","83.324","10.003","52.572","6.232","76.738","8.639","49.616","6.984","344.194","46.856","204.526","27.301","84.177","10.223","77.620","9.325","100.367","11.944","74.108","8.382","39.615","5.553","150.717","20.511","86.155","11.712","97.381","12.137","93.454","11.253","64.343","7.677","144.606","16.372"
"45","30","PHARMACEUTICAL PRODUCTS","AFGHANISTAN","33.162","4.776","9.160","1.201","45.939","6.169","28.445","3.734","63.455","7.736","68.653","8.231","71.026","8.301","70.665","7.554","30.091","4.230","52.663","7.053","25.421","3.427","94.749","11.910","72.392","8.745","63.003","7.510","91.798","10.489","45.817","6.436","63.500","8.628","48.733","6.466","71.679","8.692","59.474","7.141","81.254","9.561","88.917","9.870","59.397","8.309","67.741","9.311","29.216","3.895","56.216","6.805","59.220","7.138","72.814","8.364","105.716","11.652","64.791","9.085","67.321","9.208","83.264","11.185","61.294","7.484","53.533","6.440","70.690","8.194","90.405","9.957","40.082","5.825","67.489","8.999","34.158","4.583","62.022","7.792","53.299","6.488","71.576","8.562","98.988","11.495","26.467","3.812","47.215","6.235","33.852","4.602","37.971","4.863","69.919","8.502","91.227","10.929","90.320","10.514","100.271","10.558","30.369","4.085","60.617","8.327","81.594","10.702","86.824","10.551","74.383","8.962","78.265","9.034","44.488","4.796","39.615","5.678","40.598","5.366","34.181","4.665","28.984","3.749","50.856","6.176","77.966","9.349","51.814","6.082","64.252","6.721","63.097","8.831","53.765","7.244","22.065","2.962","59.821","7.312","70.322","8.442","52.111","6.177","64.571","7.269","61.697","8.685","55.090","7.500","22.086","2.948","38.643","4.693","32.936","3.957","84.368","10.040","87.037","9.844","49.443","6.931","79.113","10.766","16.477","2.240","58.164","7.250","50.845","6.122","74.890","8.936","78.600","8.899"
"46","30","PHARMACEUTICAL PRODUCTS","PAKISTAN IR","33.093","4.767","25.118","3.295","42.166","5.662","54.554","7.162","65.527","7.989","82.362","9.875","96.056","11.227","231.690","24.766","2.288","0.322","9.300","1.245","151.230","20.386","74.262","9.335","71.523","8.640","89.553","10.674","165.800","18.945","30.076","4.225","32.892","4.469","53.253","7.065","59.902","7.264","69.907","8.394","75.143","8.842","56.080","6.225","11.588","1.621","93.231","12.814","38.551","5.140","57.620","6.975","50.498","6.087","79.937","9.182","86.966","9.585","27.300","3.828","103.554","14.164","52.845","7.099","148.972","18.190","128.955","15.514","114.310","13.251","85.511","9.418","14.773","2.147","53.324","7.110","365.277","49.013","80.866","10.159","49.254","5.995","61.540","7.362","23.351","2.712","44.854","6.459","39.440","5.208","115.501","15.702","124.922","16.000","86.286","10.493","104.586","12.530","34.403","4.005","89.554","9.430","18.817","2.531","67.632","9.291","66.350","8.702","59.617","7.245","105.653","12.730","142.557","16.454","83.946","9.050","49.469","7.090","42.101","5.564","79.841","10.897","66.498","8.600","81.562","9.905","105.095","12.602","48.484","5.691","82.644","8.645","77.007","10.778","104.688","14.105","38.124","5.118","65.971","8.064","38.820","4.660","39.940","4.734","77.024","8.671","98.532","13.870","45.726","6.225","191.966","25.624","59.427","7.217","84.398","10.140","132.049","15.715","290.933","32.905","4.665","0.654","43.174","5.875","103.167","14.024","63.087","7.863","55.706","6.708","121.345","14.479","110.959","12.563"
"47","30","PHARMACEUTICAL PRODUCTS","PERU","31.898","4.594","21.213","2.783","49.005","6.580","44.694","5.868","49.826","6.075","61.330","7.353","72.520","8.476","107.527","11.494","37.155","5.222","143.487","19.216","71.255","9.605","62.269","7.827","115.843","13.993","90.457","10.782","58.211","6.651","54.227","7.617","59.318","8.060","83.220","11.041","50.421","6.114","80.364","9.650","83.009","9.767","64.952","7.210","41.769","5.843","52.445","7.208","52.001","6.933","69.450","8.407","56.741","6.839","100.059","11.494","65.578","7.228","47.096","6.604","47.387","6.482","64.534","8.669","67.941","8.296","69.462","8.357","65.303","7.570","83.080","9.150","30.747","4.469","102.608","13.682","82.481","11.067","65.981","8.289","65.716","7.999","80.853","9.672","111.002","12.890","51.208","7.374","68.321","9.022","51.910","7.057","52.494","6.724","55.873","6.794","53.183","6.371","56.351","6.560","107.844","11.356","35.099","4.721","49.887","6.853","70.711","9.274","73.557","8.939","82.354","9.922","119.760","13.823","87.660","9.450","45.355","6.500","50.829","6.718","74.937","10.228","67.941","8.787","57.100","6.934","50.830","6.095","63.269","7.427","92.457","9.671","29.560","4.137","98.667","13.294","57.755","7.753","40.628","4.966","49.575","5.951","61.449","7.284","47.105","5.303","32.766","4.612","88.962","12.111","69.695","9.303","43.787","5.318","71.655","8.609","74.036","8.811","45.354","5.130","49.099","6.883","162.463","22.109","56.636","7.699","62.862","7.835","93.664","11.278","91.183","10.880","79.844","9.040"
"48","30","PHARMACEUTICAL PRODUCTS","ZIMBABWE","30.626","4.411","71.053","9.320","28.756","3.861","97.094","12.747","39.951","4.871","32.677","3.918","62.995","7.363","59.328","6.342","72.851","10.240","47.225","6.324","46.810","6.310","25.399","3.193","32.551","3.932","27.165","3.238","74.523","8.515","40.098","5.632","184.037","25.007","56.703","7.523","25.164","3.051","93.382","11.213","100.392","11.813","58.725","6.518","49.590","6.937","55.587","7.640","74.523","9.936","17.497","2.118","32.688","3.940","36.680","4.213","86.549","9.539","31.693","4.444","59.739","8.171","78.185","10.503","106.251","12.973","20.594","2.478","65.492","7.592","29.202","3.216","72.003","10.464","18.060","2.408","35.558","4.771","73.848","9.277","92.914","11.310","67.527","8.078","69.612","8.084","162.000","23.330","78.610","10.381","46.843","6.368","93.323","11.953","47.122","5.730","33.718","4.039","111.922","13.029","39.440","4.153","38.052","5.118","45.386","6.235","79.936","10.484","56.268","6.838","18.379","2.214","97.773","11.285","62.814","6.772","83.632","11.986","194.451","25.701","95.711","13.063","27.252","3.525","30.011","3.645","15.585","1.869","61.486","7.218","44.034","4.606","11.208","1.569","24.031","3.238","248.009","33.291","29.868","3.651","55.718","6.689","37.868","4.489","44.227","4.979","18.737","2.638","32.643","4.444","59.267","7.911","17.954","2.180","78.125","9.386","36.866","4.387","94.922","10.736","99.372","13.931","41.004","5.580","72.822","9.899","26.733","3.332","72.802","8.766","104.684","12.491","41.063","4.649"
"49","30","PHARMACEUTICAL PRODUCTS","BURKINA FASO","30.548","4.400","19.499","2.558","20.345","2.732","25.045","3.288","12.985","1.583","16.285","1.953","26.394","3.085","68.611","7.334","34.350","4.828","30.920","4.141","27.594","3.720","26.756","3.363","16.860","2.037","33.574","4.002","38.738","4.426","20.881","2.933","30.829","4.189","45.578","6.047","25.495","3.092","9.341","1.122","20.892","2.458","62.014","6.884","23.453","3.281","35.901","4.934","55.974","7.463","12.809","1.551","39.767","4.793","51.382","5.902","39.458","4.349","20.340","2.852","25.578","3.499","23.405","3.144","18.282","2.232","61.646","7.416","18.446","2.138","32.127","3.538","28.362","4.122","27.411","3.655","34.591","4.641","19.466","2.445","34.968","4.257","20.836","2.493","28.568","3.317","20.195","2.908","37.554","4.959","36.624","4.979","22.853","2.927","12.114","1.473","11.132","1.334","22.374","2.604","37.843","3.985","14.588","1.962","40.261","5.531","36.639","4.805","17.318","2.104","25.868","3.117","40.648","4.692","38.615","4.163","23.981","3.437","23.239","3.071","21.095","2.879","36.666","4.742","26.934","3.271","36.702","4.401","26.385","3.097","64.015","6.696","38.123","5.336","39.743","5.355","19.251","2.584","19.638","2.400","16.805","2.017","24.505","2.905","23.716","2.670","33.007","4.646","74.981","10.207","21.280","2.841","33.861","4.112","15.932","1.914","46.324","5.513","41.165","4.656","20.962","2.939","35.892","4.884","37.194","5.056","29.879","3.724","19.239","2.317","58.259","6.951","19.922","2.256"
"50","30","PHARMACEUTICAL PRODUCTS","TURKEY","30.015","4.323","31.706","4.159","66.888","8.982","118.183","15.516","108.112","13.181","74.589","8.943","95.349","11.144","115.826","12.381","35.083","4.931","52.317","7.006","88.119","11.878","75.691","9.514","63.973","7.728","38.624","4.604","95.009","10.856","40.357","5.669","115.632","15.712","132.205","17.540","107.738","13.065","87.454","10.501","68.919","8.109","90.259","10.019","50.445","7.056","52.120","7.164","80.152","10.686","109.507","13.256","67.792","8.171","75.645","8.689","87.772","9.674","58.856","8.253","33.415","4.570","64.117","8.613","129.059","15.758","59.760","7.190","84.061","9.744","69.523","7.657","44.269","6.434","37.460","4.995","77.472","10.395","64.711","8.129","79.148","9.634","63.191","7.559","69.615","8.084","40.826","5.879","64.381","8.502","49.932","6.788","121.712","15.589","126.410","15.372","52.084","6.240","48.439","5.639","129.369","13.622","40.128","5.397","87.295","11.992","115.343","15.128","164.935","20.043","110.922","13.365","164.423","18.978","138.816","14.965","35.295","5.059","44.662","5.903","40.683","5.553","81.233","10.506","104.281","12.664","64.714","7.760","54.766","6.429","205.053","21.450","35.935","5.029","60.539","8.157","101.273","13.594","112.978","13.810","82.022","9.847","63.138","7.484","115.432","12.995","39.808","5.604","61.720","8.402","82.844","11.058","99.487","12.082","87.492","10.511","93.672","11.147","65.808","7.443","63.374","8.884","71.212","9.691","106.128","14.427","86.592","10.793","50.644","6.098","78.753","9.397","96.028","10.872"
"51","30","PHARMACEUTICAL PRODUCTS","SIERRA LEONE","29.011","4.179","11.103","1.456","21.498","2.887","21.593","2.835","27.687","3.376","34.695","4.160","47.509","5.553","73.746","7.883","8.154","1.146","17.398","2.330","17.575","2.369","19.578","2.461","37.457","4.525","47.155","5.621","80.118","9.154","11.366","1.597","24.206","3.289","25.031","3.321","27.944","3.389","34.225","4.110","49.936","5.876","80.927","8.983","14.201","1.987","20.984","2.884","17.425","2.323","19.828","2.400","44.161","5.323","56.006","6.433","88.400","9.743","15.396","2.159","29.011","3.968","13.978","1.878","16.347","1.996","41.144","4.950","57.401","6.654","132.879","14.634","6.922","1.006","16.336","2.178","15.592","2.092","25.300","3.178","47.804","5.819","47.251","5.652","70.664","8.206","9.586","1.380","13.855","1.830","18.771","2.552","16.596","2.126","31.151","3.788","38.415","4.602","50.976","5.934","27.923","2.940","18.315","2.463","25.341","3.481","25.077","3.289","21.518","2.615","51.700","6.229","43.625","5.035","92.976","10.023","8.136","1.166","8.578","1.134","9.343","1.275","22.974","2.971","25.237","3.065","37.293","4.472","33.116","3.887","62.173","6.504","24.598","3.443","19.243","2.593","15.823","2.124","17.549","2.145","41.148","4.940","28.721","3.404","91.290","10.277","10.202","1.436","20.905","2.846","20.031","2.674","18.386","2.233","34.527","4.148","55.594","6.616","83.820","9.480","8.325","1.167","25.196","3.429","14.486","1.969","21.612","2.694","35.746","4.304","32.641","3.895","105.351","11.928"
"52","30","PHARMACEUTICAL PRODUCTS","SLOVENIA","28.219","4.064","33.495","4.394","42.876","5.757","49.054","6.440","59.992","7.314","67.409","8.082","81.873","9.569","88.826","9.495","48.823","6.862","40.076","5.367","29.214","3.938","79.732","10.022","94.002","11.355","76.043","9.064","130.385","14.898","43.966","6.176","47.103","6.400","58.892","7.813","80.707","9.787","44.962","5.399","63.137","7.429","112.308","12.466","38.618","5.402","50.135","6.891","53.060","7.074","36.360","4.401","78.914","9.512","68.932","7.918","64.468","7.105","49.179","6.896","42.303","5.786","55.433","7.446","68.973","8.422","71.574","8.611","73.660","8.539","69.915","7.700","48.321","7.023","62.766","8.370","39.003","5.233","69.954","8.788","55.136","6.711","71.770","8.586","107.242","12.453","50.809","7.317","24.250","3.202","44.297","6.022","51.164","6.553","59.191","7.198","97.769","11.713","85.918","10.002","87.785","9.243","39.223","5.275","43.892","6.030","69.670","9.138","78.897","9.588","107.638","12.969","123.999","14.312","79.829","8.606","32.685","4.685","31.522","4.166","40.682","5.553","53.855","6.965","61.667","7.489","57.703","6.919","94.966","11.148","110.704","11.580","37.683","5.274","45.038","6.068","23.551","3.161","61.380","7.503","68.154","8.182","76.436","9.060","118.847","13.380","35.543","5.003","54.234","7.383","51.210","6.836","55.945","6.794","67.573","8.118","71.320","8.488","128.527","14.537","30.581","4.287","41.285","5.618","36.660","4.983","50.411","6.283","66.678","8.029","83.639","9.980","125.023","14.155"
"53","30","PHARMACEUTICAL PRODUCTS","MEXICO","27.868","4.014","31.882","4.182","61.602","8.272","81.119","10.650","150.711","18.375","112.875","13.533","158.248","18.495","162.805","17.403","17.308","2.433","140.580","18.826","95.903","12.928","69.151","8.692","140.105","16.924","173.302","20.657","162.547","18.573","93.492","13.132","42.576","5.785","97.664","12.957","93.153","11.296","138.882","16.677","114.338","13.454","269.677","29.934","23.131","3.236","59.624","8.195","130.176","17.356","75.456","9.134","179.647","21.654","109.886","12.623","267.876","29.524","31.799","4.459","53.776","7.356","142.236","19.107","71.953","8.786","184.447","22.190","115.875","13.432","204.674","22.541","20.246","2.942","132.463","17.663","68.879","9.242","103.749","13.034","93.087","11.331","168.375","20.142","209.901","24.375","25.877","3.727","59.581","7.868","61.959","8.423","183.730","23.533","160.219","19.483","198.747","23.810","345.413","40.210","146.932","15.472","21.158","2.846","71.226","9.785","119.072","15.617","157.506","19.141","138.499","16.687","143.826","16.601","289.025","31.158","18.493","2.650","67.549","8.928","50.446","6.885","106.729","13.804","150.986","18.336","121.346","14.551","193.933","22.765","314.288","32.876","89.560","12.534","60.431","8.142","196.834","26.422","113.419","13.864","128.717","15.453","95.890","11.366","282.456","31.799","35.445","4.990","36.732","5.000","106.320","14.192","114.500","13.906","175.261","21.056","110.325","13.129","306.713","34.690","47.412","6.647","91.868","12.502","113.312","15.403","79.018","9.849","115.484","13.906","202.693","24.185","206.105","23.335"
"54","30","PHARMACEUTICAL PRODUCTS","DOMINIC REP","27.070","3.899","22.881","3.001","32.989","4.430","41.351","5.429","25.680","3.131","55.097","6.606","42.825","5.005","48.330","5.166","18.353","2.580","41.447","5.551","32.929","4.439","30.373","3.818","39.934","4.824","44.766","5.336","54.171","6.190","25.819","3.627","24.930","3.388","53.117","7.047","55.671","6.751","33.427","4.014","51.516","6.062","56.983","6.325","20.383","2.851","23.733","3.262","60.764","8.102","34.631","4.192","58.266","7.023","36.437","4.185","78.987","8.706","21.958","3.079","45.399","6.210","42.809","5.751","47.791","5.835","28.261","3.400","54.440","6.311","70.748","7.792","28.378","4.124","36.626","4.884","44.539","5.976","45.037","5.658","43.408","5.284","43.462","5.199","74.735","8.679","21.784","3.137","22.132","2.923","21.418","2.912","33.521","4.294","34.751","4.226","62.933","7.540","68.723","8.000","53.829","5.668","18.825","2.532","54.378","7.470","46.664","6.120","35.391","4.301","66.361","7.995","70.261","8.110","65.363","7.046","20.429","2.928","17.972","2.375","27.718","3.783","36.403","4.708","37.532","4.558","41.785","5.011","53.303","6.257","57.544","6.019","26.624","3.726","38.807","5.229","32.969","4.426","56.846","6.949","36.082","4.332","41.643","4.936","49.721","5.598","22.716","3.198","34.485","4.694","45.211","6.035","37.097","4.505","49.239","5.916","64.131","7.632","47.594","5.383","23.768","3.332","35.417","4.820","56.872","7.731","45.305","5.647","46.868","5.643","51.421","6.136","60.257","6.822"
"55","30","PHARMACEUTICAL PRODUCTS","JAPAN","26.296","3.788","52.555","6.894","48.679","6.537","65.690","8.624","60.452","7.370","60.346","7.235","47.154","5.511","80.381","8.592","23.629","3.321","36.642","4.907","43.999","5.931","63.977","8.042","119.226","14.402","72.920","8.692","74.853","8.553","35.340","4.964","49.418","6.715","66.029","8.760","85.513","10.370","65.679","7.887","83.554","9.831","81.074","8.999","46.026","6.438","63.278","8.697","48.199","6.426","46.902","5.678","60.586","7.303","44.188","5.076","94.472","10.412","48.053","6.738","40.281","5.510","61.808","8.303","133.713","16.326","54.329","6.536","73.461","8.516","110.808","12.204","34.218","4.973","50.649","6.754","67.794","9.097","48.517","6.095","57.173","6.959","63.681","7.618","80.263","9.320","41.159","5.927","59.539","7.862","63.472","8.629","48.443","6.205","58.477","7.111","70.185","8.408","76.819","8.943","69.919","7.362","31.167","4.192","43.436","5.967","69.595","9.128","76.573","9.305","80.927","9.751","93.561","10.799","97.161","10.474","37.996","5.446","70.841","9.363","54.227","7.401","59.397","7.682","65.920","8.005","53.244","6.385","81.247","9.537","82.644","8.645","32.271","4.516","57.020","7.683","59.185","7.945","71.603","8.752","71.959","8.639","59.398","7.041","78.755","8.866","49.472","6.964","47.194","6.425","31.246","4.171","53.340","6.478","59.523","7.151","76.450","9.098","95.742","10.829","36.457","5.111","54.642","7.436","35.396","4.812","61.525","7.668","70.896","8.537","81.010","9.666","77.523","8.777"
"56","30","PHARMACEUTICAL PRODUCTS","LESOTHO","24.780","3.569","0.318","0.042","1.243","0.167","0.523","0.069","1.523","0.186","2.339","0.280","0.778","0.091","4.286","0.458","11.827","1.662","14.200","1.902","1.738","0.234","3.057","0.384","1.264","0.153","0.387","0.046","0.381","0.044","37.036","5.202","53.859","7.318","1.461","0.194","1.580","0.192","3.525","0.423","6.300","0.741","0.698","0.077","3.691","0.516","27.261","3.747","0.660","0.088","5.383","0.652","1.827","0.220","0.802","0.092","3.006","0.331","2.705","0.379","7.876","1.077","6.888","0.925","2.594","0.317","5.279","0.635","15.435","1.789","12.070","1.329","35.385","5.143","60.261","8.035","5.145","0.690","8.471","1.064","2.316","0.282","1.290","0.154","0.813","0.094","26.113","3.761","7.749","1.023","3.326","0.452","11.505","1.474","1.437","0.175","1.880","0.225","2.038","0.237","20.326","2.140","26.277","3.534","2.345","0.322","3.589","0.471","4.584","0.557","0.790","0.095","3.195","0.369","1.609","0.173","11.145","1.597","14.371","1.899","5.403","0.737","43.037","5.566","0.907","0.110","2.461","0.295","0.570","0.067","7.300","0.764","6.330","0.886","4.545","0.612","0.990","0.133","4.384","0.536","20.186","2.423","8.012","0.950","1.597","0.180","5.848","0.823","42.285","5.756","12.180","1.626","4.557","0.553","1.983","0.238","8.032","0.956","34.143","3.862","6.720","0.942","12.145","1.653","24.087","3.274","14.282","1.780","0.547","0.066","15.882","1.895","9.120","1.033"
"57","30","PHARMACEUTICAL PRODUCTS","KAZAKHSTAN","24.113","3.473","30.319","3.977","34.387","4.617","70.295","9.229","44.606","5.438","73.984","8.870","67.593","7.900","98.894","10.571","35.739","5.023","99.081","13.269","61.524","8.293","43.164","5.426","33.666","4.067","42.559","5.073","56.158","6.417","30.930","4.345","58.303","7.922","52.820","7.008","61.110","7.411","106.446","12.782","73.196","8.613","59.333","6.586","42.063","5.884","41.878","5.756","44.136","5.885","64.414","7.798","66.751","8.046","65.720","7.549","95.937","10.574","30.785","4.317","60.530","8.279","59.388","7.978","83.142","10.152","38.136","4.588","89.109","10.330","80.976","8.918","30.729","4.466","87.565","11.676","42.047","5.642","34.180","4.294","46.736","5.689","18.234","2.181","33.624","3.905","28.204","4.062","48.760","6.439","34.385","4.675","42.487","5.442","44.370","5.396","147.749","17.701","51.065","5.944","73.800","7.771","35.049","4.714","40.108","5.510","56.230","7.375","49.585","6.026","95.790","11.541","77.688","8.967","62.753","6.765","48.467","6.946","34.327","4.537","26.634","3.635","44.669","5.777","50.376","6.118","95.375","11.437","65.357","7.672","115.323","12.063","30.099","4.213","36.302","4.891","30.032","4.031","37.162","4.542","81.248","9.754","56.836","6.737","67.182","7.563","20.713","2.916","44.775","6.095","47.527","6.344","46.616","5.661","63.823","7.668","24.860","2.959","61.963","7.008","25.363","3.556","67.953","9.248","37.412","5.086","31.830","3.967","45.794","5.514","19.434","2.319","60.857","6.890"
